Keyword,Mã HS,Dòng SP,Loại,Lớp 1,Lớp 2,Cluster_ID
"nung silic công, nghiệp 02 05, cz160 36 06, kích thước phi944, thạch anh ja, thước phi944 750mm, ja cz160 36, silic công nghiệp, anh ja cz160, phi944 750mm nung, công nghiệp 02, nồi nấu kim, nấu kim loại, phi 944mm 680mm, thước phi 944mm",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Ống Thạch Anh,57
"bảo vệ, kính bảo, dính dạng miếng, vệ chất liệu, thuỷ tinh tự, tinh tự dính, dạng miếng kích, tự dính dạng, xuất lito technology, sản xuất lito, miếng kích thước, vệ chip điện, điện tử camera, tử camera module, chip điện tử",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Màng Bảo Vệ,48
"cố định, định sản phẩm, chất liệu chủ, rod dây cố, liệu chủ yếu, yếu thủy tinh, thủy tinh gia, gia cố nhựa, tp 70 glass, fiber 30 resin, nhựa tp 70, chủ yếu thủy, glass fiber 30, fiber rod dây, glass fiber rod",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Khuôn Cố Định,51
"tấm kính, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, kính phản xạ, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, buồng dòng chảy",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Tấm Quang Khắc,45
"ống, bảo vệ, thủy tinh fiberglass, tinh fiberglass pipe, tờ khai 106872438961, pce đã kiểm, roll pce đã, khai 106872438961 10, hóa tờ khai, đã kiểm hóa, kiểm hóa tờ, dây, sợi thủy tinh, phẩm chất liệu, sản phẩm chất",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Ống Bảo Vệ Dây,10
Đồ Gá Lò,70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Đồ Gá Lò,17
"kính, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, ánh sáng máy, in kích thước, máy in kích, kích thước 298, thước 298 15, tấm, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Kính Cắt Laser,32
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, camera điện thoại, di động chất, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Ống Thủy Tinh,53
"trang trí, kích thước 62x20, trí camera điện, thước 62x20 70x57, camera điện thoại, điện thoại di, thoại di động, di động chất, động chất liệu, viền trang, thủy tinh kích, tinh kích thước, chất liệu thủy, liệu thủy tinh, trí thủy tinh",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Hoa Sen Trang Trí,4
"ống, thủy tinh fiberglass, tinh fiberglass pipe, tờ khai 106872438961, pce đã kiểm, roll pce đã, khai 106872438961 10, hóa tờ khai, đã kiểm hóa, kiểm hóa tờ, sợi thủy tinh, fiberglass pipe 32, dung, thiết bị chiếu, đèn uv 25w",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Ống Đong Dung Môi,19
"thờ, hoa sen, cúng thủy tinh, tinh decorated worship, sen trang trí, thủy tinh decorated, trang trí bàn, decorated worship lotus, worship lotus cyx, thủy tinh 13cm, thủy tinh 20cm, đèn dầu, thủy tinh phi, tượng, tinh phi 12cm",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Tượng Thờ Cúng,62
"kính, tấm, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Tấm Kính Chống Bụi,47
"phòng, sx chai xịt, ngăn, keo hình tròn, bơm keo tự, keo tự động, keo tràn khỏi, tự động 0020022, quartz 3t pi13, đế bơm keo, bơm keo hình, hình tròn kt, tròn kt 13x3mm, bp bơm keo, tràn khỏi bơm",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Vách Ngăn Phòng Tắm,58
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, di động chất, camera điện thoại, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Cửa Sổ Thủy Tinh,64
"kính, tấm, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Tấm Kính Giảm Sáng,21
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, kích thước 62x20, trí camera điện, thước 62x20 70x57, camera điện thoại, điện thoại di, thoại di động, động chất liệu, di động chất, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Vỏ Trang Trí Thủy Tinh,33
"mục tkn, tạm mục, tkn 101825745450 a12, ngày 19 01, a12 ngày 19, phase mask l6, tkn 101032581310 a12, a12 ngày 12, ngày 12 09, l6 322228613 87x36x5mm, mask l6 322228613, mask c4 fj, phase mask c4, c4 fj 675, mask c1 fj",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Mặt Nạ Gương,70
"nung silic công, nghiệp 02 05, cz160 36 06, kích thước phi944, thạch anh ja, thước phi944 750mm, ja cz160 36, silic công nghiệp, anh ja cz160, phi944 750mm nung, công nghiệp 02, nồi nấu kim, nấu kim loại, phi 944mm 680mm, thước phi 944mm",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Nồi Nung Chảy,1
"kính, tấm, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Tấm Kính Thấu,20
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, di động chất, camera điện thoại, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Đế Bơm Keo Thủy Tinh,34
"tấm kính, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, kính phản xạ, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, bảo vệ",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Tấm Bảo Vệ,43
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, camera điện thoại, di động chất, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Ống Hồi Thủy Tinh,67
"điện thoại di, thoại di động, viền trang trí, kích thước 62x20, trí camera điện, trang trí camera, thước 62x20 70x57, camera điện thoại, di động chất, động chất liệu, thủy tinh kích, tinh kích thước, liệu thủy tinh, chất liệu thủy, kính",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Kính Camera,2
"kính, tấm, ánh sáng máy, hiệu ánh sáng, sáng máy in, tín hiệu ánh, phản xạ tín, xạ tín hiệu, in kích thước, máy in kích, kích thước 298, thước 298 15, kích thước 316, thước 316 11, sản xuất camera",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Tấm Ốp Kính,5
"thủy tinh, trang trí, chất liệu thủy, tinh kích thước, động chất liệu, kích thước 62x20, trí camera điện, thước 62x20 70x57, di động chất, camera điện thoại, điện thoại di, thoại di động, viền trang, tinh nền đĩa, tinh rỗng chứa",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Trụ Thủy Tinh,18
"nắp khung đèn, glass kích thước, khung đèn thủy, đèn thủy tinh, cố định, định sản phẩm, chất liệu chủ, rod dây cố, liệu chủ yếu, yếu thủy tinh, thủy tinh gia, gia cố nhựa, tp 70 glass, fiber 30 resin, nhựa tp 70",70200090,SP THỦY TINH,LK,Sản phẩm thủy tinh khác,Nắp Cố Định,44
"ống, thủy tinh fiberglass, tinh fiberglass pipe, tờ khai 106872438961, pce đã kiểm, roll pce đã, khai 106872438961 10, hóa tờ khai, đã kiểm hóa, kiểm hóa tờ, sợi thủy tinh, fiberglass pipe 32, dung, thiết bị chiếu, đèn uv 25w",70200090,SP THỦY TINH,NC,Sản phẩm thủy tinh khác,Ống Hút Dung Dịch,60
